,feature,importance
2,no_huddle_rate,0.24123416631966743
1,shotgun_usage,0.1487609336157877
3,quick_pass_rate,0.057781803210699464
7,deep_pass_rate,0.05770071723207803
13,middle_field_usage,0.05768839806881087
0,pass_heavy,0.05203959339987494
15,scramble_rate,0.0475581145999415
17,early_down_efficiency,0.04679187682218436
4,short_pass_rate,0.044799967399726706
5,yac_efficiency,0.035588461101976214
14,perimeter_usage,0.03423603286364444
11,outside_run_rate,0.032537737185467375
12,run_epa,0.03056383506657387
9,pass_epa,0.03009449254338989
8,air_yards_avg,0.029580142216275262
16,first_down_run_rate,0.028531917019897567
6,pass_run_balance,0.024511811334004357
10,inside_run_rate,0.0
